Number,The first digit is,The second digit is,The third digit is,The first digit is ,The second digit is,The third digit is,The sum of the first and second digits is,The sum of the first and third digits is,The sum of the second and third digits is,The sum of all three digits is,The difference of the first and second digits is,The difference of the first and third digits is,The difference of the second and third digits is ,The product of the first and second digits is,The product of the first and third digits is,The product of the second and third digits is,The product of all three digits is ,The mean of the first and second digits is,The mean of the first and third digits is,The mean of the second and third digits is,The mean of all three digits is,The range of all three digits is 
313,3,1,3,a prime number,a square or a cube number,a prime number,4,6,4,7,2,0,2,3,9,3,9,2,3,2,2,2
314,3,1,4,a prime number,a square or a cube number,a square number,4,7,5,8,2,1,3,3,12,4,12,2,4,3,3,3
315,3,1,5,a prime number,a square or a cube number,a prime number,4,8,6,9,2,2,4,3,15,5,15,2,4,3,3,4
316,3,1,6,a prime number,a square or a cube number,a triangular number,4,9,7,10,2,3,5,3,18,6,18,2,5,4,3,5
317,3,1,7,a prime number,a square or a cube number,a prime number,4,10,8,11,2,4,6,3,21,7,21,2,5,4,4,6
318,3,1,8,a prime number,a square or a cube number,a cube number,4,11,9,12,2,5,7,3,24,8,24,2,6,5,4,7
319,3,1,9,a prime number,a square or a cube number,a square number,4,12,10,13,2,6,8,3,27,9,27,2,6,5,4,8
320,3,2,0,a prime number,a prime number,a square or a cube number,5,3,2,5,1,3,2,6,0,0,0,3,2,1,2,3
321,3,2,1,a prime number,a prime number,a square or a cube number,5,4,3,6,1,2,1,6,3,2,6,3,2,2,2,2
322,3,2,2,a prime number,a prime number,a prime number,5,5,4,7,1,1,0,6,6,4,12,3,3,2,2,1
323,3,2,3,a prime number,a prime number,a prime number,5,6,5,8,1,0,1,6,9,6,18,3,3,3,3,1
324,3,2,4,a prime number,a prime number,a square number,5,7,6,9,1,1,2,6,12,8,24,3,4,3,3,2
325,3,2,5,a prime number,a prime number,a prime number,5,8,7,10,1,2,3,6,15,10,30,3,4,4,3,3
326,3,2,6,a prime number,a prime number,a triangular number,5,9,8,11,1,3,4,6,18,12,36,3,5,4,4,4
327,3,2,7,a prime number,a prime number,a prime number,5,10,9,12,1,4,5,6,21,14,42,3,5,5,4,5
328,3,2,8,a prime number,a prime number,a cube number,5,11,10,13,1,5,6,6,24,16,48,3,6,5,4,6
329,3,2,9,a prime number,a prime number,a square number,5,12,11,14,1,6,7,6,27,18,54,3,6,6,5,7
330,3,3,0,a prime number,a prime number,a square or a cube number,6,3,3,6,0,3,3,9,0,0,0,3,2,2,2,3
331,3,3,1,a prime number,a prime number,a square or a cube number,6,4,4,7,0,2,2,9,3,3,9,3,2,2,2,2
332,3,3,2,a prime number,a prime number,a prime number,6,5,5,8,0,1,1,9,6,6,18,3,3,3,3,1
333,3,3,3,a prime number,a prime number,a prime number,6,6,6,9,0,0,0,9,9,9,27,3,3,3,3,0
334,3,3,4,a prime number,a prime number,a square number,6,7,7,10,0,1,1,9,12,12,36,3,4,4,3,1
335,3,3,5,a prime number,a prime number,a prime number,6,8,8,11,0,2,2,9,15,15,45,3,4,4,4,2
336,3,3,6,a prime number,a prime number,a triangular number,6,9,9,12,0,3,3,9,18,18,54,3,5,5,4,3
337,3,3,7,a prime number,a prime number,a prime number,6,10,10,13,0,4,4,9,21,21,63,3,5,5,4,4
338,3,3,8,a prime number,a prime number,a cube number,6,11,11,14,0,5,5,9,24,24,72,3,6,6,5,5
339,3,3,9,a prime number,a prime number,a square number,6,12,12,15,0,6,6,9,27,27,81,3,6,6,5,6
340,3,4,0,a prime number,a square number,a square or a cube number,7.00,3.00,4.00,7.00,1.00,3.00,4.00,12.00,0.00,0.00,0.00,3.50,1.50,2.00,2.33,4.00
341,3,4,1,a prime number,a square number,a square or a cube number,7.00,4.00,5.00,8.00,1.00,2.00,3.00,12.00,3.00,4.00,12.00,3.50,2.00,2.50,2.67,3.00
342,3,4,2,a prime number,a square number,a prime number,7.00,5.00,6.00,9.00,1.00,1.00,2.00,12.00,6.00,8.00,24.00,3.50,2.50,3.00,3.00,2.00
343,3,4,3,a prime number,a square number,a prime number,7.00,6.00,7.00,10.00,1.00,0.00,1.00,12.00,9.00,12.00,36.00,3.50,3.00,3.50,3.33,1.00
344,3,4,4,a prime number,a square number,a square number,7.00,7.00,8.00,11.00,1.00,1.00,0.00,12.00,12.00,16.00,48.00,3.50,3.50,4.00,3.67,1.00
345,3,4,5,a prime number,a square number,a prime number,7.00,8.00,9.00,12.00,1.00,2.00,1.00,12.00,15.00,20.00,60.00,3.50,4.00,4.50,4.00,2.00
346,3,4,6,a prime number,a square number,a triangular number,7.00,9.00,10.00,13.00,1.00,3.00,2.00,12.00,18.00,24.00,72.00,3.50,4.50,5.00,4.33,3.00
347,3,4,7,a prime number,a square number,a prime number,7.00,10.00,11.00,14.00,1.00,4.00,3.00,12.00,21.00,28.00,84.00,3.50,5.00,5.50,4.67,4.00
348,3,4,8,a prime number,a square number,a cube number,7.00,11.00,12.00,15.00,1.00,5.00,4.00,12.00,24.00,32.00,96.00,3.50,5.50,6.00,5.00,5.00
349,3,4,9,a prime number,a square number,a square number,7.00,12.00,13.00,16.00,1.00,6.00,5.00,12.00,27.00,36.00,108.00,3.50,6.00,6.50,5.33,6.00
350,3,5,0,a prime number,a prime number,a square or a cube number,8,3,5,8,2,3,5,15,0,0,0,4,2,3,3,5
351,3,5,1,a prime number,a prime number,a square or a cube number,8,4,6,9,2,2,4,15,3,5,15,4,2,3,3,4
352,3,5,2,a prime number,a prime number,a prime number,8,5,7,10,2,1,3,15,6,10,30,4,3,4,3,3
353,3,5,3,a prime number,a prime number,a prime number,8,6,8,11,2,0,2,15,9,15,45,4,3,4,4,2
354,3,5,4,a prime number,a prime number,a square number,8,7,9,12,2,1,1,15,12,20,60,4,4,5,4,2
355,3,5,5,a prime number,a prime number,a prime number,8,8,10,13,2,2,0,15,15,25,75,4,4,5,4,2
356,3,5,6,a prime number,a prime number,a triangular number,8,9,11,14,2,3,1,15,18,30,90,4,5,6,5,3
357,3,5,7,a prime number,a prime number,a prime number,8,10,12,15,2,4,2,15,21,35,105,4,5,6,5,4
358,3,5,8,a prime number,a prime number,a cube number,8,11,13,16,2,5,3,15,24,40,120,4,6,7,5,5
359,3,5,9,a prime number,a prime number,a square number,8,12,14,17,2,6,4,15,27,45,135,4,6,7,6,6
360,3,6,0,a prime number,a triangular number,a square or a cube number,9,3,6,9,3,3,6,18,0,0,0,5,2,3,3,6
361,3,6,1,a prime number,a triangular number,a square or a cube number,9,4,7,10,3,2,5,18,3,6,18,5,2,4,3,5
362,3,6,2,a prime number,a triangular number,a prime number,9,5,8,11,3,1,4,18,6,12,36,5,3,4,4,4
363,3,6,3,a prime number,a triangular number,a prime number,9,6,9,12,3,0,3,18,9,18,54,5,3,5,4,3
364,3,6,4,a prime number,a triangular number,a square number,9,7,10,13,3,1,2,18,12,24,72,5,4,5,4,3
365,3,6,5,a prime number,a triangular number,a prime number,9,8,11,14,3,2,1,18,15,30,90,5,4,6,5,3
366,3,6,6,a prime number,a triangular number,a triangular number,9,9,12,15,3,3,0,18,18,36,108,5,5,6,5,3
367,3,6,7,a prime number,a triangular number,a prime number,9,10,13,16,3,4,1,18,21,42,126,5,5,7,5,4
368,3,6,8,a prime number,a triangular number,a cube number,9,11,14,17,3,5,2,18,24,48,144,5,6,7,6,5
369,3,6,9,a prime number,a triangular number,a square number,9,12,15,18,3,6,3,18,27,54,162,5,6,8,6,6
370,3,7,0,a prime number,a prime number,a square or a cube number,10,3,7,10,4,3,7,21,0,0,0,5,2,4,3,7
371,3,7,1,a prime number,a prime number,a square or a cube number,10,4,8,11,4,2,6,21,3,7,21,5,2,4,4,6
372,3,7,2,a prime number,a prime number,a prime number,10,5,9,12,4,1,5,21,6,14,42,5,3,5,4,5
373,3,7,3,a prime number,a prime number,a prime number,10,6,10,13,4,0,4,21,9,21,63,5,3,5,4,4
374,3,7,4,a prime number,a prime number,a square number,10,7,11,14,4,1,3,21,12,28,84,5,4,6,5,4
375,3,7,5,a prime number,a prime number,a prime number,10,8,12,15,4,2,2,21,15,35,105,5,4,6,5,4
376,3,7,6,a prime number,a prime number,a triangular number,10,9,13,16,4,3,1,21,18,42,126,5,5,7,5,4
377,3,7,7,a prime number,a prime number,a prime number,10,10,14,17,4,4,0,21,21,49,147,5,5,7,6,4
378,3,7,8,a prime number,a prime number,a cube number,10,11,15,18,4,5,1,21,24,56,168,5,6,8,6,5
379,3,7,9,a prime number,a prime number,a square number,10,12,16,19,4,6,2,21,27,63,189,5,6,8,6,6
380,3,8,0,a prime number,a cube number,a square or a cube number,11,3,8,11,5,3,8,24,0,0,0,6,2,4,4,8
381,3,8,1,a prime number,a cube number,a square or a cube number,11,4,9,12,5,2,7,24,3,8,24,6,2,5,4,7
382,3,8,2,a prime number,a cube number,a prime number,11,5,10,13,5,1,6,24,6,16,48,6,3,5,4,6
383,3,8,3,a prime number,a cube number,a prime number,11,6,11,14,5,0,5,24,9,24,72,6,3,6,5,5
384,3,8,4,a prime number,a cube number,a square number,11,7,12,15,5,1,4,24,12,32,96,6,4,6,5,5
385,3,8,5,a prime number,a cube number,a prime number,11,8,13,16,5,2,3,24,15,40,120,6,4,7,5,5
386,3,8,6,a prime number,a cube number,a triangular number,11,9,14,17,5,3,2,24,18,48,144,6,5,7,6,5
387,3,8,7,a prime number,a cube number,a prime number,11,10,15,18,5,4,1,24,21,56,168,6,5,8,6,5
388,3,8,8,a prime number,a cube number,a cube number,11,11,16,19,5,5,0,24,24,64,192,6,6,8,6,5
389,3,8,9,a prime number,a cube number,a square number,11,12,17,20,5,6,1,24,27,72,216,6,6,9,7,6
390,3,9,0,a prime number,a square number,a square or a cube number,12.00,3.00,9.00,12.00,6.00,3.00,9.00,27.00,0.00,0.00,0.00,6.00,1.50,4.50,4.00,9.00
391,3,9,1,a prime number,a square number,a square or a cube number,12.00,4.00,10.00,13.00,6.00,2.00,8.00,27.00,3.00,9.00,27.00,6.00,2.00,5.00,4.33,8.00
392,3,9,2,a prime number,a square number,a prime number,12.00,5.00,11.00,14.00,6.00,1.00,7.00,27.00,6.00,18.00,54.00,6.00,2.50,5.50,4.67,7.00
393,3,9,3,a prime number,a square number,a prime number,12.00,6.00,12.00,15.00,6.00,0.00,6.00,27.00,9.00,27.00,81.00,6.00,3.00,6.00,5.00,6.00
394,3,9,4,a prime number,a square number,a square number,12.00,7.00,13.00,16.00,6.00,1.00,5.00,27.00,12.00,36.00,108.00,6.00,3.50,6.50,5.33,6.00
395,3,9,5,a prime number,a square number,a prime number,12.00,8.00,14.00,17.00,6.00,2.00,4.00,27.00,15.00,45.00,135.00,6.00,4.00,7.00,5.67,6.00
396,3,9,6,a prime number,a square number,a triangular number,12.00,9.00,15.00,18.00,6.00,3.00,3.00,27.00,18.00,54.00,162.00,6.00,4.50,7.50,6.00,6.00
397,3,9,7,a prime number,a square number,a prime number,12.00,10.00,16.00,19.00,6.00,4.00,2.00,27.00,21.00,63.00,189.00,6.00,5.00,8.00,6.33,6.00
398,3,9,8,a prime number,a square number,a cube number,12.00,11.00,17.00,20.00,6.00,5.00,1.00,27.00,24.00,72.00,216.00,6.00,5.50,8.50,6.67,6.00
399,3,9,9,a prime number,a square number,a square number,12.00,12.00,18.00,21.00,6.00,6.00,0.00,27.00,27.00,81.00,243.00,6.00,6.00,9.00,7.00,6.00
400,4,0,0,a square number,a square or a cube number,a square or a cube number,4,4,0,4,4,4,0,0,0,0,0,2,2,0,1,4
401,4,0,1,a square number,a square or a cube number,a square or a cube number,4,5,1,5,4,3,1,0,4,0,0,2,3,1,2,4
402,4,0,2,a square number,a square or a cube number,a prime number,4,6,2,6,4,2,2,0,8,0,0,2,3,1,2,4
403,4,0,3,a square number,a square or a cube number,a prime number,4,7,3,7,4,1,3,0,12,0,0,2,4,2,2,4
404,4,0,4,a square number,a square or a cube number,a square number,4,8,4,8,4,0,4,0,16,0,0,2,4,2,3,4
405,4,0,5,a square number,a square or a cube number,a prime number,4,9,5,9,4,1,5,0,20,0,0,2,5,3,3,5
406,4,0,6,a square number,a square or a cube number,a triangular number,4,10,6,10,4,2,6,0,24,0,0,2,5,3,3,6
407,4,0,7,a square number,a square or a cube number,a prime number,4,11,7,11,4,3,7,0,28,0,0,2,6,4,4,7
408,4,0,8,a square number,a square or a cube number,a cube number,4,12,8,12,4,4,8,0,32,0,0,2,6,4,4,8
409,4,0,9,a square number,a square or a cube number,a square number,4,13,9,13,4,5,9,0,36,0,0,2,7,5,4,9
410,4,1,0,a square number,a square or a cube number,a square or a cube number,5,4,1,5,3,4,1,4,0,0,0,3,2,1,2,4
411,4,1,1,a square number,a square or a cube number,a square or a cube number,5,5,2,6,3,3,0,4,4,1,4,3,3,1,2,3
412,4,1,2,a square number,a square or a cube number,a prime number,5,6,3,7,3,2,1,4,8,2,8,3,3,2,2,3
413,4,1,3,a square number,a square or a cube number,a prime number,5,7,4,8,3,1,2,4,12,3,12,3,4,2,3,3
414,4,1,4,a square number,a square or a cube number,a square number,5,8,5,9,3,0,3,4,16,4,16,3,4,3,3,3
415,4,1,5,a square number,a square or a cube number,a prime number,5,9,6,10,3,1,4,4,20,5,20,3,5,3,3,4
416,4,1,6,a square number,a square or a cube number,a triangular number,5,10,7,11,3,2,5,4,24,6,24,3,5,4,4,5
417,4,1,7,a square number,a square or a cube number,a prime number,5,11,8,12,3,3,6,4,28,7,28,3,6,4,4,6
418,4,1,8,a square number,a square or a cube number,a cube number,5,12,9,13,3,4,7,4,32,8,32,3,6,5,4,7
419,4,1,9,a square number,a square or a cube number,a square number,5,13,10,14,3,5,8,4,36,9,36,3,7,5,5,8
420,4,2,0,a square number,a prime number,a square or a cube number,6,4,2,6,2,4,2,8,0,0,0,3,2,1,2,4
421,4,2,1,a square number,a prime number,a square or a cube number,6,5,3,7,2,3,1,8,4,2,8,3,3,2,2,3
422,4,2,2,a square number,a prime number,a prime number,6,6,4,8,2,2,0,8,8,4,16,3,3,2,3,2
423,4,2,3,a square number,a prime number,a prime number,6,7,5,9,2,1,1,8,12,6,24,3,4,3,3,2
424,4,2,4,a square number,a prime number,a square number,6,8,6,10,2,0,2,8,16,8,32,3,4,3,3,2
425,4,2,5,a square number,a prime number,a prime number,6,9,7,11,2,1,3,8,20,10,40,3,5,4,4,3
426,4,2,6,a square number,a prime number,a triangular number,6,10,8,12,2,2,4,8,24,12,48,3,5,4,4,4
427,4,2,7,a square number,a prime number,a prime number,6,11,9,13,2,3,5,8,28,14,56,3,6,5,4,5
428,4,2,8,a square number,a prime number,a cube number,6,12,10,14,2,4,6,8,32,16,64,3,6,5,5,6
429,4,2,9,a square number,a prime number,a square number,6,13,11,15,2,5,7,8,36,18,72,3,7,6,5,7
430,4,3,0,a square number,a prime number,a square or a cube number,7,4,3,7,1,4,3,12,0,0,0,4,2,2,2,4
431,4,3,1,a square number,a prime number,a square or a cube number,7,5,4,8,1,3,2,12,4,3,12,4,3,2,3,3
432,4,3,2,a square number,a prime number,a prime number,7,6,5,9,1,2,1,12,8,6,24,4,3,3,3,2
433,4,3,3,a square number,a prime number,a prime number,7,7,6,10,1,1,0,12,12,9,36,4,4,3,3,1
434,4,3,4,a square number,a prime number,a square number,7,8,7,11,1,0,1,12,16,12,48,4,4,4,4,1
435,4,3,5,a square number,a prime number,a prime number,7,9,8,12,1,1,2,12,20,15,60,4,5,4,4,2
436,4,3,6,a square number,a prime number,a triangular number,7,10,9,13,1,2,3,12,24,18,72,4,5,5,4,3
437,4,3,7,a square number,a prime number,a prime number,7,11,10,14,1,3,4,12,28,21,84,4,6,5,5,4
438,4,3,8,a square number,a prime number,a cube number,7,12,11,15,1,4,5,12,32,24,96,4,6,6,5,5
439,4,3,9,a square number,a prime number,a square number,7,13,12,16,1,5,6,12,36,27,108,4,7,6,5,6
440,4,4,0,a square number,a square number,a square or a cube number,8.00,4.00,4.00,8.00,0.00,4.00,4.00,16.00,0.00,0.00,0.00,4.00,2.00,2.00,2.67,4.00
441,4,4,1,a square number,a square number,a square or a cube number,8.00,5.00,5.00,9.00,0.00,3.00,3.00,16.00,4.00,4.00,16.00,4.00,2.50,2.50,3.00,3.00
442,4,4,2,a square number,a square number,a prime number,8.00,6.00,6.00,10.00,0.00,2.00,2.00,16.00,8.00,8.00,32.00,4.00,3.00,3.00,3.33,2.00
443,4,4,3,a square number,a square number,a prime number,8.00,7.00,7.00,11.00,0.00,1.00,1.00,16.00,12.00,12.00,48.00,4.00,3.50,3.50,3.67,1.00
444,4,4,4,a square number,a square number,a square number,8.00,8.00,8.00,12.00,0.00,0.00,0.00,16.00,16.00,16.00,64.00,4.00,4.00,4.00,4.00,0.00
445,4,4,5,a square number,a square number,a prime number,8.00,9.00,9.00,13.00,0.00,1.00,1.00,16.00,20.00,20.00,80.00,4.00,4.50,4.50,4.33,1.00
446,4,4,6,a square number,a square number,a triangular number,8.00,10.00,10.00,14.00,0.00,2.00,2.00,16.00,24.00,24.00,96.00,4.00,5.00,5.00,4.67,2.00
447,4,4,7,a square number,a square number,a prime number,8.00,11.00,11.00,15.00,0.00,3.00,3.00,16.00,28.00,28.00,112.00,4.00,5.50,5.50,5.00,3.00
448,4,4,8,a square number,a square number,a cube number,8.00,12.00,12.00,16.00,0.00,4.00,4.00,16.00,32.00,32.00,128.00,4.00,6.00,6.00,5.33,4.00
449,4,4,9,a square number,a square number,a square number,8.00,13.00,13.00,17.00,0.00,5.00,5.00,16.00,36.00,36.00,144.00,4.00,6.50,6.50,5.67,5.00
450,4,5,0,a square number,a prime number,a square or a cube number,9,4,5,9,1,4,5,20,0,0,0,5,2,3,3,5
451,4,5,1,a square number,a prime number,a square or a cube number,9,5,6,10,1,3,4,20,4,5,20,5,3,3,3,4
452,4,5,2,a square number,a prime number,a prime number,9,6,7,11,1,2,3,20,8,10,40,5,3,4,4,3
453,4,5,3,a square number,a prime number,a prime number,9,7,8,12,1,1,2,20,12,15,60,5,4,4,4,2
454,4,5,4,a square number,a prime number,a square number,9,8,9,13,1,0,1,20,16,20,80,5,4,5,4,1
455,4,5,5,a square number,a prime number,a prime number,9,9,10,14,1,1,0,20,20,25,100,5,5,5,5,1
456,4,5,6,a square number,a prime number,a triangular number,9,10,11,15,1,2,1,20,24,30,120,5,5,6,5,2
457,4,5,7,a square number,a prime number,a prime number,9,11,12,16,1,3,2,20,28,35,140,5,6,6,5,3
458,4,5,8,a square number,a prime number,a cube number,9,12,13,17,1,4,3,20,32,40,160,5,6,7,6,4
459,4,5,9,a square number,a prime number,a square number,9,13,14,18,1,5,4,20,36,45,180,5,7,7,6,5
460,4,6,0,a square number,a triangular number,a square or a cube number,10,4,6,10,2,4,6,24,0,0,0,5,2,3,3,6
461,4,6,1,a square number,a triangular number,a square or a cube number,10,5,7,11,2,3,5,24,4,6,24,5,3,4,4,5
462,4,6,2,a square number,a triangular number,a prime number,10,6,8,12,2,2,4,24,8,12,48,5,3,4,4,4
463,4,6,3,a square number,a triangular number,a prime number,10,7,9,13,2,1,3,24,12,18,72,5,4,5,4,3
464,4,6,4,a square number,a triangular number,a square number,10,8,10,14,2,0,2,24,16,24,96,5,4,5,5,2
465,4,6,5,a square number,a triangular number,a prime number,10,9,11,15,2,1,1,24,20,30,120,5,5,6,5,2
466,4,6,6,a square number,a triangular number,a triangular number,10,10,12,16,2,2,0,24,24,36,144,5,5,6,5,2
467,4,6,7,a square number,a triangular number,a prime number,10,11,13,17,2,3,1,24,28,42,168,5,6,7,6,3
468,4,6,8,a square number,a triangular number,a cube number,10,12,14,18,2,4,2,24,32,48,192,5,6,7,6,4
469,4,6,9,a square number,a triangular number,a square number,10,13,15,19,2,5,3,24,36,54,216,5,7,8,6,5
470,4,7,0,a square number,a prime number,a square or a cube number,11,4,7,11,3,4,7,28,0,0,0,6,2,4,4,7
471,4,7,1,a square number,a prime number,a square or a cube number,11,5,8,12,3,3,6,28,4,7,28,6,3,4,4,6
472,4,7,2,a square number,a prime number,a prime number,11,6,9,13,3,2,5,28,8,14,56,6,3,5,4,5
473,4,7,3,a square number,a prime number,a prime number,11,7,10,14,3,1,4,28,12,21,84,6,4,5,5,4
474,4,7,4,a square number,a prime number,a square number,11,8,11,15,3,0,3,28,16,28,112,6,4,6,5,3
475,4,7,5,a square number,a prime number,a prime number,11,9,12,16,3,1,2,28,20,35,140,6,5,6,5,3
476,4,7,6,a square number,a prime number,a triangular number,11,10,13,17,3,2,1,28,24,42,168,6,5,7,6,3
477,4,7,7,a square number,a prime number,a prime number,11,11,14,18,3,3,0,28,28,49,196,6,6,7,6,3
478,4,7,8,a square number,a prime number,a cube number,11,12,15,19,3,4,1,28,32,56,224,6,6,8,6,4
479,4,7,9,a square number,a prime number,a square number,11,13,16,20,3,5,2,28,36,63,252,6,7,8,7,5
480,4,8,0,a square number,a cube number,a square or a cube number,12,4,8,12,4,4,8,32,0,0,0,6,2,4,4,8
481,4,8,1,a square number,a cube number,a square or a cube number,12,5,9,13,4,3,7,32,4,8,32,6,3,5,4,7
482,4,8,2,a square number,a cube number,a prime number,12,6,10,14,4,2,6,32,8,16,64,6,3,5,5,6
483,4,8,3,a square number,a cube number,a prime number,12,7,11,15,4,1,5,32,12,24,96,6,4,6,5,5
484,4,8,4,a square number,a cube number,a square number,12,8,12,16,4,0,4,32,16,32,128,6,4,6,5,4
485,4,8,5,a square number,a cube number,a prime number,12,9,13,17,4,1,3,32,20,40,160,6,5,7,6,4
486,4,8,6,a square number,a cube number,a triangular number,12,10,14,18,4,2,2,32,24,48,192,6,5,7,6,4
487,4,8,7,a square number,a cube number,a prime number,12,11,15,19,4,3,1,32,28,56,224,6,6,8,6,4
488,4,8,8,a square number,a cube number,a cube number,12,12,16,20,4,4,0,32,32,64,256,6,6,8,7,4
489,4,8,9,a square number,a cube number,a square number,12,13,17,21,4,5,1,32,36,72,288,6,7,9,7,5
490,4,9,0,a square number,a square number,a square or a cube number,13.00,4.00,9.00,13.00,5.00,4.00,9.00,36.00,0.00,0.00,0.00,6.50,2.00,4.50,4.33,9.00
491,4,9,1,a square number,a square number,a square or a cube number,13.00,5.00,10.00,14.00,5.00,3.00,8.00,36.00,4.00,9.00,36.00,6.50,2.50,5.00,4.67,8.00
492,4,9,2,a square number,a square number,a prime number,13.00,6.00,11.00,15.00,5.00,2.00,7.00,36.00,8.00,18.00,72.00,6.50,3.00,5.50,5.00,7.00
493,4,9,3,a square number,a square number,a prime number,13.00,7.00,12.00,16.00,5.00,1.00,6.00,36.00,12.00,27.00,108.00,6.50,3.50,6.00,5.33,6.00
494,4,9,4,a square number,a square number,a square number,13.00,8.00,13.00,17.00,5.00,0.00,5.00,36.00,16.00,36.00,144.00,6.50,4.00,6.50,5.67,5.00
495,4,9,5,a square number,a square number,a prime number,13.00,9.00,14.00,18.00,5.00,1.00,4.00,36.00,20.00,45.00,180.00,6.50,4.50,7.00,6.00,5.00
496,4,9,6,a square number,a square number,a triangular number,13.00,10.00,15.00,19.00,5.00,2.00,3.00,36.00,24.00,54.00,216.00,6.50,5.00,7.50,6.33,5.00
497,4,9,7,a square number,a square number,a prime number,13.00,11.00,16.00,20.00,5.00,3.00,2.00,36.00,28.00,63.00,252.00,6.50,5.50,8.00,6.67,5.00
498,4,9,8,a square number,a square number,a cube number,13.00,12.00,17.00,21.00,5.00,4.00,1.00,36.00,32.00,72.00,288.00,6.50,6.00,8.50,7.00,5.00
499,4,9,9,a square number,a square number,a square number,13.00,13.00,18.00,22.00,5.00,5.00,0.00,36.00,36.00,81.00,324.00,6.50,6.50,9.00,7.33,5.00
500,5,0,0,a prime number,a square or a cube number,a square or a cube number,5,5,0,5,5,5,0,0,0,0,0,3,3,0,2,5
501,5,0,1,a prime number,a square or a cube number,a square or a cube number,5,6,1,6,5,4,1,0,5,0,0,3,3,1,2,5
502,5,0,2,a prime number,a square or a cube number,a prime number,5,7,2,7,5,3,2,0,10,0,0,3,4,1,2,5
503,5,0,3,a prime number,a square or a cube number,a prime number,5,8,3,8,5,2,3,0,15,0,0,3,4,2,3,5
504,5,0,4,a prime number,a square or a cube number,a square number,5,9,4,9,5,1,4,0,20,0,0,3,5,2,3,5
505,5,0,5,a prime number,a square or a cube number,a prime number,5,10,5,10,5,0,5,0,25,0,0,3,5,3,3,5
506,5,0,6,a prime number,a square or a cube number,a triangular number,5,11,6,11,5,1,6,0,30,0,0,3,6,3,4,6
507,5,0,7,a prime number,a square or a cube number,a prime number,5,12,7,12,5,2,7,0,35,0,0,3,6,4,4,7
508,5,0,8,a prime number,a square or a cube number,a cube number,5,13,8,13,5,3,8,0,40,0,0,3,7,4,4,8
509,5,0,9,a prime number,a square or a cube number,a square number,5,14,9,14,5,4,9,0,45,0,0,3,7,5,5,9
510,5,1,0,a prime number,a square or a cube number,a square or a cube number,6,5,1,6,4,5,1,5,0,0,0,3,3,1,2,5
511,5,1,1,a prime number,a square or a cube number,a square or a cube number,6,6,2,7,4,4,0,5,5,1,5,3,3,1,2,4
512,5,1,2,a prime number,a square or a cube number,a prime number,6,7,3,8,4,3,1,5,10,2,10,3,4,2,3,4
513,5,1,3,a prime number,a square or a cube number,a prime number,6,8,4,9,4,2,2,5,15,3,15,3,4,2,3,4
514,5,1,4,a prime number,a square or a cube number,a square number,6,9,5,10,4,1,3,5,20,4,20,3,5,3,3,4
515,5,1,5,a prime number,a square or a cube number,a prime number,6,10,6,11,4,0,4,5,25,5,25,3,5,3,4,4
516,5,1,6,a prime number,a square or a cube number,a triangular number,6,11,7,12,4,1,5,5,30,6,30,3,6,4,4,5
517,5,1,7,a prime number,a square or a cube number,a prime number,6,12,8,13,4,2,6,5,35,7,35,3,6,4,4,6
518,5,1,8,a prime number,a square or a cube number,a cube number,6,13,9,14,4,3,7,5,40,8,40,3,7,5,5,7
519,5,1,9,a prime number,a square or a cube number,a square number,6,14,10,15,4,4,8,5,45,9,45,3,7,5,5,8
520,5,2,0,a prime number,a prime number,a square or a cube number,7,5,2,7,3,5,2,10,0,0,0,4,3,1,2,5
521,5,2,1,a prime number,a prime number,a square or a cube number,7,6,3,8,3,4,1,10,5,2,10,4,3,2,3,4
522,5,2,2,a prime number,a prime number,a prime number,7,7,4,9,3,3,0,10,10,4,20,4,4,2,3,3
523,5,2,3,a prime number,a prime number,a prime number,7,8,5,10,3,2,1,10,15,6,30,4,4,3,3,3
524,5,2,4,a prime number,a prime number,a square number,7,9,6,11,3,1,2,10,20,8,40,4,5,3,4,3
525,5,2,5,a prime number,a prime number,a prime number,7,10,7,12,3,0,3,10,25,10,50,4,5,4,4,3
526,5,2,6,a prime number,a prime number,a triangular number,7,11,8,13,3,1,4,10,30,12,60,4,6,4,4,4
527,5,2,7,a prime number,a prime number,a prime number,7,12,9,14,3,2,5,10,35,14,70,4,6,5,5,5
528,5,2,8,a prime number,a prime number,a cube number,7,13,10,15,3,3,6,10,40,16,80,4,7,5,5,6
529,5,2,9,a prime number,a prime number,a square number,7,14,11,16,3,4,7,10,45,18,90,4,7,6,5,7
530,5,3,0,a prime number,a prime number,a square or a cube number,8,5,3,8,2,5,3,15,0,0,0,4,3,2,3,5
531,5,3,1,a prime number,a prime number,a square or a cube number,8,6,4,9,2,4,2,15,5,3,15,4,3,2,3,4
532,5,3,2,a prime number,a prime number,a prime number,8,7,5,10,2,3,1,15,10,6,30,4,4,3,3,3
533,5,3,3,a prime number,a prime number,a prime number,8,8,6,11,2,2,0,15,15,9,45,4,4,3,4,2
534,5,3,4,a prime number,a prime number,a square number,8,9,7,12,2,1,1,15,20,12,60,4,5,4,4,2
535,5,3,5,a prime number,a prime number,a prime number,8,10,8,13,2,0,2,15,25,15,75,4,5,4,4,2
536,5,3,6,a prime number,a prime number,a triangular number,8,11,9,14,2,1,3,15,30,18,90,4,6,5,5,3
